"","dates","titles","push","id"
"1",2017-07-18,"[爆卦] 高雄輕軌運量年增700%(^_-)",104,"M.1500353759.A.477"
"2",2017-07-18,"Re: [問卦] 公家機關到底養了多少廢物?",122,"M.1500354782.A.3A3"
"3",2017-07-18,"[爆卦] 維尼又解禁啦!",133,"M.1500357042.A.0AC"
"4",2017-07-18,"Re: [發錢] 急！嘴巴內上側有東西突起",158,"M.1500361096.A.C15"
"5",2017-07-18,"[問卦] 中國朋友問我:中印邊界衝突 台灣人挺哪邊",473,"M.1500362218.A.BDC"
"6",2017-07-18,"Re: [新聞] 公安遭質疑 交通部：柯市長不要危言聳聽",103,"M.1500364205.A.E0B"
"7",2017-07-18,"[新聞] 遭交部轟危言聳聽 柯P：算了那我們自己扛",325,"M.1500365409.A.D76"
"8",2017-07-18,"[新聞] 「你吼什麼？」黃國昌突爆氣嗆柯建銘",141,"M.1500365596.A.809"
"9",2017-07-18,"[新聞] 清大高材生遭撞拖行百米慘死　父哭求法官",179,"M.1500365912.A.6FE"
"10",2017-07-18,"[新聞] 16歲美少女遭種族歧視　課上一半到廁所上",119,"M.1500366136.A.67D"
"11",2017-07-18,"[問卦] 鑰匙掉到水溝裡怎麼取出？",306,"M.1500367594.A.497"
"12",2017-07-18,"Re: [問卦] 發廢文之前要先找哪個id拜碼頭？",931,"M.1500368456.A.178"
"13",2017-07-18,"[新聞] 逢甲氣爆1死15傷    起火點2樓發現女死者",103,"M.1500370190.A.EEE"
"14",2017-07-18,"Re: [爆卦] 柯文哲戰交通部北車聯合防災中心的真相",139,"M.1500370571.A.D70"
"15",2017-07-18,"[問卦] 這條路是幹嘛用的",144,"M.1500370673.A.91A"
"16",2017-07-18,"[問卦] 台灣人有荷蘭血統嗎？",212,"M.1500371168.A.124"
"17",2017-07-18,"Re: [新聞] 逢甲氣爆1死15傷    起火點2樓發現女死者",160,"M.1500371940.A.88D"
"18",2017-07-18,"[新聞] 氣爆碎玻璃幾毀容　女大生還安慰同學",133,"M.1500373249.A.CAA"
"19",2017-07-18,"[ＦＢ] 林淑芬   要「劫貧濟富」到何時?",226,"M.1500375869.A.F8A"
"20",2017-07-18,"[新聞] 學校有蜂巢　竟築在蔣介石銅像下體",532,"M.1500376989.A.DB6"
"21",2017-07-18,"[新聞] 逢甲氣爆真相揭曉　新手換瓦斯出槌釀禍",179,"M.1500380898.A.124"
"22",2017-07-18,"Fw: [閒聊] 台灣製造=產地：中國台灣",152,"M.1500382878.A.42C"
"23",2017-07-18,"[新聞] 要去公園玩突衝出！北市4歲女童遭輾臉變",136,"M.1500383344.A.E80"
"24",2017-07-18,"[爆卦] 誠品創辦人吳清友病逝",220,"M.1500383490.A.4D4"
"25",2017-07-18,"[新聞] 北市府開先例 同志勞工可請婚假、陪產假",141,"M.1500387201.A.00A"
"26",2017-07-18,"Re: [新聞] 要去公園玩突衝出！北市4歲女童遭輾臉變",124,"M.1500389216.A.FB7"
"27",2017-07-18,"[新聞] 訊問35小時 蔡正元涉掏空中影3.7億遭收押",325,"M.1500392131.A.0F0"
"28",2017-07-18,"[新聞] 扯！科大生混進成大法律系2年　還任學會",100,"M.1500392688.A.882"
"29",2017-07-18,"[新聞] 法官裁定收押禁見 蔡正元：政治迫害！",259,"M.1500392780.A.1F0"
"30",2017-07-19,"[問卦] 哪個Youtuber最應該訂閱？",128,"M.1500393604.A.94D"
"31",NA,"",124,"M.1500394155.A.923"
"32",2017-07-19,"[新聞] 27歲美女老師　幫16歲學生「轉大人」過生",102,"M.1500394338.A.EAD"
"33",2017-07-19,"[問卦] 上站六千天值得慶祝嗎？",203,"M.1500394757.A.D2F"
"34",2017-07-19,"Re: [新聞] 新北樹林4車追撞1死 竟因買賣糾紛奪命",133,"M.1500396729.A.097"
"35",2017-07-19,"[新聞] 蔡正元00:50戴銬上囚車 送往台北看守所",273,"M.1500398380.A.F0E"
"36",2017-07-19,"[爆卦] 台北看守所明日菜單",144,"M.1500398866.A.757"
"37",2017-07-19,"[新聞] 有照為證！羅致政被拍到和女助理摩鐵開",282,"M.1500418451.A.C74"
"38",2017-07-19,"[新聞] 羅致政帶女助理上摩鐵 背叛〈雪中紅〉歌手妻",184,"M.1500420160.A.7C1"
"39",2017-07-19,"[新聞] 掙脫媽媽的手　4歲女童遭輾斃！母傷心",121,"M.1500420648.A.6D0"
"40",2017-07-19,"[新聞] 【收押蔡正元】抓到了！偷<U+6ED9>香港1.3億元 侵占金流全曝光",252,"M.1500423928.A.E08"
"41",2017-07-19,"Re: [新聞] 爆柯P私下轉彎「我深綠的」 名嘴不屑怒",117,"M.1500429460.A.65F"
"42",2017-07-19,"[新聞] 爸媽失蹤75年冰川尋獲！79歲小女兒欣慰",243,"M.1500429624.A.118"
"43",2017-07-19,"Re: [問卦] 桶我啊狗幹 操你媽數學",329,"M.1500431349.A.B64"
"44",2017-07-19,"Re: [問卦]  邱主任跟粘副主任 都幾？",157,"M.1500433687.A.291"
"45",2017-07-19,"Re: [問卦] 台北統籌分配憑什麼拿得比高雄多？",138,"M.1500435034.A.7D0"
"46",2017-07-19,"[問卦] 余祥銓是不是真的是清流？",105,"M.1500435369.A.C21"
"47",2017-07-19,"[新聞] 民調：7成2民進黨支持者挺北市推自己人",327,"M.1500437223.A.AEB"
"48",2017-07-19,"[爆卦] Steam遊戲《牆》在中國被封鎖並鎖區",156,"M.1500438173.A.691"
"49",2017-07-19,"[新聞] 12年前打死邱小妹　狠父假釋又性侵女童",142,"M.1500438304.A.994"
"50",2017-07-19,"[ＦＢ] 徐永明：國民黨委員請回來清乾淨",144,"M.1500440013.A.27B"
"51",2017-07-19,"Re: [新聞] 回嗆徐巧芯！蔡正元：妳再提中影 有人會",190,"M.1500440580.A.070"
"52",2017-07-19,"[新聞] 醫生痛訴：被通報N次的受虐兒 照樣被打死",129,"M.1500442260.A.0F2"
"53",2017-07-19,"[ＦＢ] 黃國昌 敬告衛福部食藥署署長",191,"M.1500446814.A.3F5"
"54",2017-07-19,"[爆卦] 中國喬丹狀告喬丹本尊侵權！",297,"M.1500448108.A.5FB"
"55",2017-07-19,"[新聞] 16歲少女加入IS遭俘虜　伊拉克大軍竟集體",157,"M.1500448866.A.4BE"
"56",2017-07-19,"[新聞] 姚立明:柯文哲想挑戰大位 開始與民進黨切",112,"M.1500450005.A.28A"
"57",2017-07-19,"[新聞] 首份阿美族語公文 鄉民感覺很親切",101,"M.1500450704.A.668"
"58",2017-07-19,"[新聞]站哨玩手機被沒收 印度小兵怒用AK擊斃長官",151,"M.1500451559.A.121"
"59",2017-07-19,"[新聞] 抓到了！ 韓媒：朴槿惠曾下令妨礙世越號",122,"M.1500453394.A.0ED"
"60",2017-07-19,"[新聞] 清大校友po文：自殺炸彈攻擊蔡 遭警逮捕",105,"M.1500454639.A.E85"
"61",2017-07-19,"[問卦] 女房客在朋友套房自殺成功了",153,"M.1500455372.A.654"
"62",2017-07-19,"[新聞] 「特偵組真是廢物」蔡正元遭聲押 網友籲",136,"M.1500456289.A.9D1"
"63",2017-07-19,"[問卦] 在台北租雅房的八卦",132,"M.1500458109.A.C4C"
"64",2017-07-19,"[爆卦] 農委會一頁20億的前瞻計畫報告書",122,"M.1500458476.A.CAD"
"65",2017-07-19,"[新聞] 柯文哲就是瞧不起民進黨」 姚立明爆柯想",505,"M.1500459298.A.D4E"
"66",2017-07-19,"[新聞] 不服取締！惡駕駛毆警又衝撞　遭逮打悲",298,"M.1500461974.A.AE6"
"67",2017-07-19,"[問卦] 我還能活多久？？",176,"M.1500469803.A.51E"
"68",2017-07-19,"[新聞]連勝文傳再戰柯P?連戰卻不想兒子投入",382,"M.1500470256.A.DBE"
"69",2017-07-19,"[問卦] 老一輩的大中國情結是不是很重??",111,"M.1500474875.A.E91"
"70",2017-07-19,"[爆卦] 6月來台人數",176,"M.1500475591.A.C43"
"71",2017-07-19,"[協尋] 大直動物醫院 棉花糖",410,"M.1500477249.A.54E"
"72",2017-07-19,"Re: [新聞] 【收押蔡正元】抓到了！偷<U+6ED9>香港1.3億元 侵占金流全曝光",109,"M.1500478491.A.AC8"
"73",2017-07-20,"[問卦] 把肥宅奶頭ps到AV女優奶上 算猥褻圖嗎?",278,"M.1500483089.A.453"
"74",2017-07-20,"Re: [爆卦] 中國喬丹狀告喬丹本尊侵權！",307,"M.1500484312.A.35B"
"75",2017-07-20,"[新聞] 他稱生酮可治糖尿病點閱破千萬 醫師嚇傻:",105,"M.1500486734.A.D79"
"76",2017-07-20,"[新聞] 「滅香」謠言多 蔡英文怒：內政部長為何",141,"M.1500504250.A.475"
"77",2017-07-20,"[新聞] 3年倒逾千家 房仲業：回不去了",574,"M.1500507779.A.701"
"78",2017-07-20,"Re: [新聞] 他稱生酮可治糖尿病點閱破千萬 醫師嚇傻:",131,"M.1500509748.A.A18"
"79",2017-07-20,"[新聞] 早知羅致政會爆婚外情？ 妹妹臉書吐露心",135,"M.1500512596.A.3E7"
"80",2017-07-20,"Re: [新聞] 柯文哲就是瞧不起民進黨」 姚立明爆柯想",274,"M.1500514075.A.0F5"
"81",2017-07-20,"[新聞] 店家賠慘…預訂3千5百元海鮮塔　奧客嫌熱",102,"M.1500520238.A.E40"
