"","title","date","push"
"1","
			
				Re: [問卦] 哪一國的首都不是該國第一城啊
			
			"," 6/01","爆"
"2","
			
				[爆卦] 台灣公車司機神嘲諷無理取鬧的中國大媽
			
			"," 6/02","爆"
"3","
			
				[新聞] 美退出巴黎氣候協定 馬斯克宣布不再任川
			
			"," 6/02","爆"
"4","
			
				[爆卦]  阿聯酋名牌事件後續
			
			"," 6/02","爆"
"5","
			
				[新聞] 川普不甩巴黎協定　中國將趁勢成環保龍頭
			
			"," 6/02","爆"
"6","
			
				[問卦] 台北市天有異象 黑暗降臨
			
			"," 6/02","爆"
"7","
			
				[新聞] 朱立倫勘災 淹水受困面露無奈
			
			"," 6/02","爆"
"8","
			
				[新聞] 【新北淹水危機】抽水機效能檢測造假　板
			
			"," 6/02","爆"
"9","
			
				Re: [問卦] 這次淹水是上天給同性戀的教訓嗎？
			
			"," 6/02","爆"
"10","
			
				[問卦] 中國跟日本   哪個讓你有親近感？
			
			"," 6/02","爆"
"11","
			
				[爆卦] 彰化議長謝典霖司機感謝黑道幫忙打人!?!
			
			"," 6/02","爆"
"12","
			
				[問卦] 6月4號 出差到上海 穿個4字繁體T血?
			
			"," 6/02","爆"
"13","
			
				[新聞] 福原愛自責沒當好老婆 自爆六罪虐
			
			"," 6/02","爆"
"14","
			
				[爆卦] 聯合重工做假新聞造謠總統欺負身障人士
			
			"," 6/02","爆"
"15","
			
				[新聞] 基隆河員山子12:31啟動分洪　新北1萬戶
			
			"," 6/02","爆"
"16","
			
				Re: [新聞] 夏林清遭停聘 71師連署聲援
			
			"," 6/02","爆"
"17","
			
				[新聞] 勒死男童後信基督 兇手竟勸家屬：別被仇
			
			"," 6/02","爆"
"18","
			
				[問卦] 上千隻飛蟻進來我家怎辦
			
			"," 6/03","爆"
"19","
			
				[ＦＢ] 李富城-新北市為何要養那麼多廢物
			
			"," 6/03","爆"
"20","
			
				Re: [新聞] 氣候變遷暴雨 蔡英文籲放下成見推前瞻
			
			"," 6/03","爆"
"21","
			
				[爆卦] 小藍單車64尋找坦克活動緊急終止
			
			"," 6/03","爆"
"22","
			
				[ＦＢ] 北京共享單車公司超狂
			
			"," 6/03","爆"
"23","
			
				[新聞] 改善交通圖資不符　柯Ｐ飆下屬「在外科早
			
			"," 6/03","爆"
"24","
			
				[新聞] 不愛內科醫生 柯P：我跟賴清德不一樣
			
			"," 6/03","爆"
"25","
			
				Re: [新聞] 「對岸談大數據 我們在講滷肉飯」 洪雪珍
			
			"," 6/03","爆"
"26","
			
				Re: [問卦] 有人覺得臺灣婚禮很假嗎
			
			"," 6/03","爆"
"27","
			
				[新聞] 豪大雨水災　柯文哲：下雨太好了 可亡羊
			
			"," 6/03","爆"
"28","
			
				[爆卦] 微博現在系統升級!海外全面禁圖2天
			
			"," 6/03","爆"
"29","
			
				[新聞] 男吃番茄遭噎無生命跡象 醫學院學生將他
			
			"," 6/03","爆"
"30","
			
				[問卦] 抽菸的人是不是很拉機
			
			"," 6/03","爆"
"31","
			
				[新聞]無視淋雨照被酸作秀 黃國昌今仍穿皮鞋踩爛
			
			"," 6/03","爆"
"32","
			
				[新聞] 蔡政府批六四 國台辦:只有大陸人民才有發
			
			"," 6/03","爆"
"33","
			
				Re: [問卦] 基隆真的存在嗎？
			
			"," 6/04","爆"
"34","
			
				[爆卦] 英國倫敦發生恐怖攻擊
			
			"," 6/04","爆"
"35","
			
				[問卦] 遊覽車歐吉桑卡拉OK，該唱什麼輾壓全場
			
			"," 6/04","爆"
"36","
			
				[新聞] 談治水 柯P：這國家很奇怪 喜歡花錢做效
			
			"," 6/04","爆"
"37","
			
				[ＦＢ] 台灣沒競爭力，只能去中國賺錢？她戳破
			
			"," 6/04","爆"
"38","
			
				Re: [新聞] 社區公告「野貓是禍害」確實逐出 網
			
			"," 6/04","爆"
"39","
			
				Re: [問卦] 關於""六四天安門事件""那個人VS坦克的畫面
			
			"," 6/04","爆"
"40","
			
				[新聞] 韓籍實況主誤播六四天安門影片 遭中方平
			
			"," 6/04","爆"
"41","
			
				[ＦＢ] 柯文哲頒市長獎：一時成功不會一路順風
			
			"," 6/04","爆"
"42","
			
				[新聞] 驚！連日暴雨南北輪流炸　小穿山甲慘遭洪
			
			"," 6/04","爆"
"43","
			
				Re: [問卦] 母豬版要放煙火了??????????????????
			
			"," 6/04","爆"
"44","
			
				[問卦] 台灣的計程車司機素質是不是很低落?
			
			"," 6/04","爆"
"45","
			
				[問卦] 親人突然離開了，該怎麼調整心情?
			
			"," 6/04","爆"
"46","
			
				[爆卦] 地震
			
			"," 6/04","爆"
"47","
			
				Re: [問卦] 如果台灣是這個大小 會變怎樣？
			
			"," 6/04","爆"
"48","
			
				[ＦＢ] 是這樣的, 我想墾丁後壁湖是保護區吧?
			
			"," 6/05","爆"
"49","
			
				[問卦] 女板是不是又快要開趴踢了？
			
			"," 6/05","爆"
"50","
			
				Re: [問卦] 家裡資產破億是什麼感覺
			
			"," 6/05","爆"
"51","
			
				[問卦] 出國拒絕代買會怎樣？
			
			"," 6/05","爆"
"52","
			
				[新聞] 豪大雨也不怕 屏東這條溪超清澈
			
			"," 6/05","爆"
"53","
			
				[ＦＢ] 檢舉小幫手要下架了！！！
			
			"," 6/05","爆"
"54","
			
				Re: [新聞] 自稱「台灣人」馬上服務變好　網傳這幾個
			
			"," 6/05","爆"
"55","
			
				[新聞] 玩老漢推車…疑駐日美軍「大戰」陸上自
			
			"," 6/05","爆"
"56","
			
				Re: [問卦] 世紀帝國2怎麼玩
			
			"," 6/05","爆"
"57","
			
				[ＦＢ] 余宛如狂推低薪白領是為了自己公司
			
			"," 6/05","爆"
"58","
			
				[ＦＢ] 林淑芬(低薪白領-祖克柏只值兩萬)
			
			"," 6/05","爆"
"59","
			
				[問卦] 忘不掉但再也吃不到的東西？
			
			"," 6/05","爆"
"60","
			
				Re: [新聞] 中尉軍官燒炭亡！父質疑「死因不單純」：
			
			"," 6/05","爆"
"61","
			
				[爆卦] 民進黨關於外籍低薪白領的小內幕(3)
			
			"," 6/05","爆"
"62","
			
				Re: [問卦] 郭台銘有可能變臺灣領導人嗎？
			
			"," 6/05","爆"
"63","
			
				[新聞] 惡狼性侵同居人女兒518次　被告後還勒死
			
			"," 6/05","爆"
"64","
			
				[問卦] 今天生日
			
			"," 6/06","爆"
"65","
			
				[爆卦] 一人一推，補習班實名學歷別喊假的
			
			"," 6/06","爆"
"66","
			
				[問卦] 被ptt站內的中國狗嗆該告嗎？
			
			"," 6/06","爆"
"67","
			
				[新聞] 王丹說台獨不願流血就是嘴砲 徐世榮：真
			
			"," 6/06","爆"
"68","
			
				[新聞] 李來希宣告與反同團體合作 615「全面開
			
			"," 6/06","爆"
"69","
			
				[新聞] 廣東大學生發六四維園晚會照，遭逼退學
			
			"," 6/06","爆"
"70","
			
				[問卦] 啃老的弟弟點解？
			
			"," 6/06","爆"
"71","
			
				[新聞] 年輕人買不起房 李茂生：犧牲建商救國就
			
			"," 6/06","爆"
"72","
			
				[問卦] 生日當天被貓咪拒絕陪睡該怎麼辦?
			
			"," 6/06","爆"
"73","
			
				[新聞] 寧嫁歐巴不要台男！　東南亞外配：家鄉比
			
			"," 6/06","爆"
"74","
			
				Re: [問卦] 啃老的弟弟點解？
			
			"," 6/06","爆"
"75","
			
				[新聞] 補習班實名制好威　英文名師從「留加碩士
			
			"," 6/06","爆"
"76","
			
				[問卦] 一蘭拉麵4不4把台灣人當盤子
			
			"," 6/06","爆"
"77","
			
				[爆卦] 實名制下妖魔鬼怪都現形了--李揚數學
			
			"," 6/07","爆"
"78","
			
				[新聞] 狂找工作2個月…連10家拒絕！聽障女沮喪
			
			"," 6/07","爆"
"79","
			
				Re: [爆卦] 世界上和臺灣一樣不被承認是國家的地區
			
			"," 6/07","爆"
"80","
			
				Re: [問卦] 八卦版恐甲者的戰甲法，太弱了！？
			
			"," 6/07","爆"
"81","
			
				Re: [新聞] 人妻搭嘟嘟車遭輪流性侵　女嬰被拋出車外
			
			"," 6/07","爆"
"82","
			
				Re: [爆卦] 補習班針對實名制提出的反制措施(本人)
			
			"," 6/07","爆"
"83","
			
				Re: [問卦] 4插如果還8000可以洗白嗎？
			
			"," 6/07","爆"
"84","
			
				[ＦＢ] 柯文哲  是誰搬走人民的乳酪？
			
			"," 6/07","爆"
"85","
			
				[新聞] 張志豪：原來以前國民黨黨工都有配槍！
			
			"," 6/07","爆"
"86","
			
				[爆卦] 花蓮縣府大買周刊王寄送全縣家戶
			
			"," 6/07","爆"
"87","
			
				[問卦] 甲甲們不敢說出的真相煙HiI BB愛滋溫床？
			
			"," 6/07","爆"
"88","
			
				[問卦] 聖結石會紅 是不是代表台灣有很多低能兒
			
			"," 6/07","爆"
"89","
			
				Re: [ＦＢ] 靠北警察：林非帆婚禮 員警站崗保護
			
			"," 6/07","爆"
"90","
			
				[新聞] 沒繳英檢證明不能畢業　政大女提告敗訴
			
			"," 6/07","爆"
"91","
			
				Re: [問卦] 台灣何時在大陸各論壇黑掉的?
			
			"," 6/08","爆"
"92","
			
				[新聞] 懷孕男友不認嗆去死 原來馬賽克是加約砲
			
			"," 6/08","爆"
"93","
			
				[新聞] 摩鐵性侵爛醉乾女兒「乾爹」事後掏500萬
			
			"," 6/08","爆"
"94","
			
				[新聞] 賣家氣炸！半年內網購225次不取貨　婦人
			
			"," 6/08","爆"
"95","
			
				[新聞] 佛心老闆！他賣掉公司掏26億酬謝員工
			
			"," 6/08","爆"
"96","
			
				Re: [新聞] 勞動力緊缺、薪資卻漲不動...經濟學家想
			
			"," 6/08","爆"
"97","
			
				[新聞] 傅<U+5D10>萁送縣民13萬本週刊 柯文哲驚問
			
			"," 6/08","爆"
"98","
			
				[爆卦] 高雄市高中生遭學校封口並強制沒收手機
			
			"," 6/08","爆"
"99","
			
				[問卦] 空姐IG
			
			"," 6/08","爆"
"100","
			
				[ＦＢ] 林飛帆-第二篇聲明
			
			"," 6/08","爆"
"101","
			
				[新聞] 【獨家】撞車送進警局　余祥銓：我的錯！
			
			"," 6/08","爆"
"102","
			
				[問卦] 有沒有林飛帆很顧人怨的八卦
			
			"," 6/08","爆"
"103","
			
				[新聞] 神技！褲管滑出便便　他地鐵站公然撇條
			
			"," 6/08","爆"
"104","
			
				[新聞] 路考意外！停等紅燈　港生煞車遭撞急哭了
			
			"," 6/08","爆"
"105","
			
				[爆卦] 林飛帆婚禮彰化警方動員維安的內幕
			
			"," 6/08","爆"
"106","
			
				[新聞] 徐巧芯:同樣追求兩岸發展 國民黨就是賣台
			
			"," 6/08","爆"
"107","
			
				[新聞] 新北市小警犬滿月 畫面融化上千網友驚呼
			
			"," 6/08","爆"
"108","
			
				Re: [爆卦] 林飛帆婚禮彰化警方動員維安的內幕
			
			"," 6/08","爆"
"109","
			
				[爆卦] 林淑芬：國發會偷渡假實習真工作
			
			"," 6/09","爆"
"110","
			
				[問卦] 女朋友公司老闆兒子
			
			"," 6/09","爆"
"111","
			
				Re: [問卦] 女朋友公司老闆兒子
			
			"," 6/09","爆"
"112","
			
				Re: [新聞] 疑似外星人打造的星球 KIC 8462852，又再
			
			"," 6/09","爆"
"113","
			
				[新聞] AV片商嘆環境差　被「真」素人無碼片吸金
			
			"," 6/09","爆"
"114","
			
				[新聞]小男孩買玩具被坑!轉蛋機居然轉出古柯鹼
			
			"," 6/09","爆"
"115","
			
				[新聞] 幫警追通緝犯的是短跑名將 多次全國跨
			
			"," 6/09","爆"
"116","
			
				[新聞] 簡訊：ISIS宣稱已殺害2名中國人質
			
			"," 6/09","爆"
"117","
			
				Re: [問卦] 女朋友公司老闆兒子
			
			"," 6/09","爆"
"118","
			
				[新聞] 被馬英九握手20秒 畢業生：腦筋空白全身
			
			"," 6/09","爆"
"119","
			
				[新聞] 「路過」林飛帆婚宴！　反年金將到場外「
			
			"," 6/09","爆"
"120","
			
				Re: [新聞] 「上班不要看」首腦：呱吉，搞笑影片後
			
			"," 6/09","爆"
"121","
			
				[新聞] 《返校》讓玩家感動落淚 公視將改編影視
			
			"," 6/09","爆"
"122","
			
				[新聞] NASA新太空人候選名單 前海豹隊員入選
			
			"," 6/09","爆"
"123","
			
				Re: [新聞] 網軍攻柯P遭起底?朱立倫否認:我都說柯市
			
			"," 6/09","爆"
"124","
			
				[新聞] 400億去哪了？　狂！柯P公開事實的真相
			
			"," 6/09","爆"
"125","
			
				Re: [問卦] 如何讓女鬼來壓我床
			
			"," 6/09","爆"
"126","
			
				Re: [新聞] 400億去哪了？　狂！柯P公開事實的真相
			
			"," 6/09","爆"
"127","
			
				[爆卦] 十幾位成人展女優逛士林夜市拉!!
			
			"," 6/09","爆"
"128","
			
				[新聞] 曾與林全談前瞻 柯P：感覺你們只是想花
			
			"," 6/09","爆"
"129","
			
				[新聞] 直行被左轉騎士撞　還被嗆「沒看到綠燈
			
			"," 6/09","爆"
"130","
			
				Re: [新聞] 遊上海驚豔「人民素質超高」　留美台人：
			
			"," 6/10","爆"
"131","
			
				Re: [問卦] 公務員一生對這個社會貢獻的價值是什麼
			
			"," 6/10","爆"
"132","
			
				[新聞] 就是不講英文！女記者「全程中文」訪問
			
			"," 6/10","爆"
"133","
			
				Re: [新聞] 直升機花蓮山中墜毀 3人罹難
			
			"," 6/10","爆"
"134","
			
				[新聞] 凌天證實 直升機執行「看見台灣」續集空
			
			"," 6/10","爆"
"135","
			
				[新聞] 搭機開拍看見台灣續集　齊柏林墜機身亡
			
			"," 6/10","爆"
"136","
			
				[新聞] 執行「看見台灣」續集空拍任務 凌天航空
			
			"," 6/10","爆"
"137","
			
				[新聞] 台語人口漸減 柯文哲：我兒女也都很少講
			
			"," 6/10","爆"
"138","
			
				[問卦] 齊柏林導演的故事給了我們什麼啟示?
			
			"," 6/10","爆"
"139","
			
				[新聞] 【齊柏林罹難】克服懼高症飛20年　只為記
			
			"," 6/10","爆"
"140","
			
				[新聞] 李登輝：蔣宋美齡要求不得撤換郝柏村報告
			
			"," 6/10","爆"
"141","
			
				Re: [問卦] 智齒深到要去大醫院拔是什麼概念?
			
			"," 6/10","爆"
"142","
			
				[新聞] 夏威夷披薩發明人逝世 享壽83歲
			
			"," 6/10","爆"
"143","
			
				Fw: [心得] 得知於鄉民，感恩雞排文
			
			"," 6/10","爆"
"144","
			
				Re: [問卦] 齊柏林導演的故事給了我們什麼啟示?
			
			"," 6/10","爆"
"145","
			
				[ＦＢ] 齊柏林拍下亞泥的照片
			
			"," 6/10","爆"
"146","
			
				[新聞] 齊柏林重現太魯閣斷頭山「亞泥挖更深了」
			
			"," 6/10","爆"
"147","
			
				[爆卦] 台灣隊贏了
			
			"," 6/10","爆"
"148","
			
				[問卦] 生日被父母忘掉有多悲慘?
			
			"," 6/11","爆"
"149","
			
				[新聞] 居民秀勞力士擋公宅 林洲民怒：我聽不下
			
			"," 6/11","爆"
"150","
			
				Re: [新聞] 一張亞泥破壞照…秒懂齊柏林多擔心台灣
			
			"," 6/11","爆"
"151","
			
				[爆卦] 在貴族吃到疑似蟑螂，餐費照收只賠$32
			
			"," 6/11","爆"
"152","
			
				[新聞] 她合法請假9年半　同事諷：幽靈資深老師
			
			"," 6/11","爆"
"153","
			
				Re: [新聞] 齊柏林空拍墜機身亡　鄉民懷疑「被失
			
			"," 6/11","爆"
"154","
			
				[新聞] 齊柏林遭酸外省第二代！兒回嗆：比賣國土
			
			"," 6/11","爆"
