"","char","freq"
"1","問卦",280344
"2","Re",122308
"3","新聞",115044
"4","嗎",38564
"5","什麼",37719
"6","八卦",30385
"7","　",28668
"8","有沒有",26824
"9","是不是",21354
"10","為",20867
"11","台灣",18443
"12","會",17750
"13","怎麼",13172
"14","爆卦",12204
"15","中國",9995
"16","怎麼辦",8674
"17","想",7469
"18","U",6943
"19","台",6718
"20","沒",6377
"21","日本",6233
"22","吃",6132
"23","該",5966
"24","現在",5695
"25","到底",5654
"26","真的",5269
"27","誰",5187
"28","說",5115
"29","肥宅",4974
"30","比較",4723
"31","世大運",4666
"32","年",4500
"33","怎樣",4496
"34","不會",4322
"35","為何",4299
"36","男",4262
"37","女生",4258
"38","萬",4128
"39","還是",4115
"40","女",4084
"41","讓",4003
"42","歲",3994
"43","台北",3872
"44","有人",3834
"45","沒有",3819
"46","遭",3755
"47","一個",3749
"48","做",3737
"49","對",3616
"50","哪個",3501
"51","買",3457
"52","這麼",3445
"53","中",3435
"54","柯文哲",3416
"55","柯P",3412
"56","A",3329
"57","後",3228
"58","喜歡",3129
"59","台大",2998
"60","美國",2952
"61","陳",2945
"62","與",2923
"63","高雄",2835
"64","卦",2688
"65","這",2625
"66","幹嘛",2599
"67","月",2590
"68","網友",2571
"69","這樣",2527
"70","30",2522
"71","朋友",2473
"72","卻",2469
"73","10",2455
"74","賴清德",2451
"75","一直",2437
"76","263",2426
"77","當",2409
"78","484",2380
"79","新",2344
"80","那麼",2318
"81","灣",2294
"82","高",2280
"83","鄉民",2278
"84","今天",2237
"85","學生",2217
"86","民進黨",2200
"87","時候",2187
"88","女友",2182
"89","開",2163
"90","還",2156
"91","來",2153
"92","請問",2152
"93","不能",2151
"94","覺得",2145
"95","感覺",2119
"96","很多",2067
"97","大學",2050
"98","看到",2021
"99","嗆",1998
"100","前",1975
"101","個",1950
"102","蔡英文",1948
"103","爆",1947
"104","國家",1941
"105","開始",1887
"106","勞基法",1877
"107","死",1876
"108","政府",1876
"109","工作",1863
"110","甚麼",1857
"111","知道",1836
"112","玩",1813
"113","黃國昌",1778
"114","男生",1771
"115","停電",1769
"116","欸",1760
"117","世界",1758
"118","還有",1750
"119","一例一休",1750
"120","麵",1746
"121","元",1738
"122","勞工",1701
"123","愛",1696
"124","哪裡",1694
"125","我們",1662
"126","穿",1650
"127","20",1642
"128","PTT",1642
"129","太",1639
"130","日",1630
"131","正妹",1625
"132","問題",1620
"133","不要",1607
"134","美",1603
"135","手機",1596
"136","妹妹",1573
"137","總統",1571
"138","北韓",1569
"139","億",1563
"140","算",1560
"141","版",1560
"142","大陸",1552
"143","時",1542
"144","機車",1529
"145","國民黨",1527
"146","柯",1518
"147","成",1455
"148","找",1446
"149","市長",1435
"150","屌",1415
"151","一堆",1406
"152","發現",1396
"153","出來",1395
"154","是否",1391
"155","幫",1383
"156","將",1382
"157","小時",1372
"158","怎辦",1358
"159","一樣",1356
"160","超",1344
"161","老闆",1339
"162","東西",1332
"163","罵",1331
"164","修法",1320
"165","妙禪",1309
"166","支持",1306
"167","可能",1304
"168","賣",1297
"169","好吃",1289
"170","韓國",1285
"171","其實",1279
"172","不到",1267
"173","男友",1260
"174","這個",1259
"175","花",1257
"176","FB",1252
"177","中共",1225
"178","竟",1222
"179","台南",1220
"180","搞頭",1206
"181","北",1203
"182","出",1198
"183","甲甲",1198
"184","給",1193
"185","快",1188
"186","遊戲",1187
"187","警察",1187
"188","板",1185
"189","注意",1184
"190","應該",1182
"191","選",1181
"192","幹",1177
"193","墾丁",1174
"194","咪",1169
"195","事",1165
"196","一定",1161
"197","跑",1160
"198","這次",1153
"199","文",1151
"200","天",1150
"201","兩岸",1149
"202","從",1146
"203","讚",1144
"204","小孩",1142
"205","捷運",1132
"206","國",1126
"207","多久",1125
"208","台中",1125
"209","反",1119
"210","影片",1118
"211","公司",1116
"212","過",1116
"213","老師",1115
"214","住",1114
"215","李",1108
"216","ptt",1107
"217","反年改",1106
"218","事件",1106
"219","錢",1105
"220","遇到",1098
"221","高中",1095
"222","批",1091
"223","請",1088
"224","推",1086
"225","的掛",1079
"226","成功",1079
"227","抗議",1077
"228","不用",1075
"229","年輕人",1072
"230","社會",1071
"231","回",1066
"232","傳",1059
"233","變",1050
"234","愛滋",1049
"235","獨立",1046
"236","明天",1045
"237","遊行",1041
"238","惹",1039
"239","全",1031
"240","分",1030
"241","睡",1029
"242","學校",1026
"243","姆",1025
"244","地方",1025
"245","店",1022
"246","人生",1021
"247","上班",1019
"248","薪水",1017
"249","12",1013
"250","館長",1012
"251","陸",1009
"252","更",1004
"253","K",1002
"254","蔡",1001
"255","最大",998
"256","拍",997
"257","走",984
"258","怎麼樣",981
"259","抓",975
"260","哪種",975
"261","送",970
"262","要求",969
"263","X",968
"264","帶",967
"265","發生",967
"266","別人",964
"267","員工",963
"268","冷氣",959
"269","明年",958
"270","時間",952
"271","15",950
"272","崩潰",950
"273","正",947
"274","9.2",944
"275","最強",942
"276","起來",939
"277","結婚",934
"278","立委",932
"279","變成",932
"280","直播",931
"281","林",930
"282","長",928
"283","前瞻",927
"284","完",927
"285","宣布",926
"286","選手",925
"287","案",924
"288","算是",924
"289","11",922
"290","時代",920
"291","差",918
"292","乃哥",918
"293","無",916
"294","原因",916
"295","一起",912
"296","今年",911
"297","曝光",909
"298","化",906
"299","代表",902
"300","電影",902
"301","站",901
"302","台女",900
"303","出現",893
"304","棒球",891
"305","妹",887
"306","vs",887
"307","當年",887
"308","最近",884
"309","賺",884
"310","有加",883
"311","的話",883
"312","聽",883
"313","假",882
"314","最後",876
"315","覺青",875
"316","大生",875
"317","台獨",874
"318","因為",873
"319","生",873
"320","挺",871
"321","早餐",867
"322","著",864
"323","網路",863
"324","片",856
"325","警",856
"326","先",854
"327","英文",854
"328","自殺",852
"329","老婆",852
"330","道歉",849
"331","團體",847
"332","南部",846
"333","法",845
"334","全球",844
"335","正常",841
"336","颱風",835
"337","問",833
"338","重機",831
"339","女兒",830
"340","需要",828
"341","容易",827
"342","突然",827
"343","一天",827
"344","認真",825
"345","聖",825
"346","喝",824
"347","結石",824
"348","女森",822
"349","中華民國",820
"350","狗",819
"351","第一",818
"352","同志",817
"353","中華",816
"354","教授",816
"355","性侵",815
"356","已經",811
"357","馬英九",809
"358","臺灣",807
"359","議員",804
"360","市府",803
"361","統一",801
"362","40",801
"363","50",800
"364","酸",799
"365","罷免",799
"366","適合",795
"367","何不",787
"368","地震",783
"369","沒人",778
"370","卡",778
"371","當兵",777
"372","月薪",777
"373","運動",775
"374","媽媽",773
"375","川普",770
"376","恐",769
"377","馬",769
"378","公務員",764
"379","怒",764
"380","意思",764
"381","臉",764
"382","約",759
"383","一次",759
"384","妹子",758
"385","最好",758
"386","香港",757
"387","應",757
"388","未來",755
"389","話",755
"390","100",754
"391","直接",753
"392","嚴重",753
"393","印度",752
"394","以前",751
"395","撞",748
"396","強",747
"397","iPhone",745
"398","連署",743
"399","民調",742
"400","寫",739
"401","次",738
"402","改",738
"403","學妹",735
"404","男人",733
"405","三",732
"406","你們",732
"407","畢業",732
"408","讀",731
"409","砲",730
"410","南韓",728
"411","無法",727
"412","國道",723
"413","醫生",721
"414","網",719
"415","文言文",718
"416","王",718
"417","參加",718
"418","辦",716
"419","老",715
"420","貓貓",713
"421","討厭",711
"422","女性",709
"423","人口",704
"424","放",703
"425","女孩",701
"426","老人",701
"427","了嗎",701
"428","處理",701
"429","半夜",701
"430","機會",699
"431","這種",698
"432","根本",697
"433","笑",697
"434","記者",696
"435","最高",696
"436","準備",695
"437","律師",692
"438","金城武",691
"439","便宜",691
"440","多少錢",687
"441","的卦",686
"442","出國",685
"443","少女",683
"444","搞",682
"445","發電",681
"446","張",680
"447","辦法",679
"448","騎",679
"449","真",679
"450","發",678
"451","包",678
"452","願意",678
"453","民主",678
"454","搶",675
"455","企業",673
"456","垃圾",673
"457","那個",673
"458","逾",673
"459","騎士",671
"460","難",670
"461","不好",670
"462","解決",669
"463","還要",668
"464","父母",668
"465","砍",668
"466","力量",667
"467","國際",665
"468","政治",664
"469","剩",664
"470","經濟",663
"471","連",663
"472","同學",663
"473","黃",662
"474","太陽",661
"475","醫師",661
"476","麥當勞",659
"477","神",657
"478","邊緣",656
"479","搭",655
"480","追",654
"481","車",649
"482","少子",649
"483","桃園",648
"484","綠",648
"485","發展",648
"486","法官",647
"487","敢",646
"488","殺",645
"489","男子",644
"490","喊",644
"491","通過",642
"492","妳",641
"493","廣告",640
"494","急",640
"495","生活",640
"496","每天",639
"497","16",639
"498","學者",637
"499","賴揆",636
"500","談",636
"501","百萬",635
"502","新北",634
"503","還會",634
"504","加班",632
"505","救",632
"506","大學生",631
"507","天堂",631
"508","18",631
"509","低",630
"510","黑人",630
"511","反核",629
"512","工程師",627
"513","開放",627
"514","文組",625
"515","臉書",625
"516","二",624
"517","歷史",621
"518","公告",617
"519","名",616
"520","節目",614
"521","女人",614
"522","狂",610
"523","學店",610
"524","經典",610
"525","不想",609
"526","名字",609
"527","恐怖",607
"528","19",607
"529","電",606
"530","心態",605
"531","度",604
"532","接受",604
